"","date","fog","rain","snow","snowfallm","snowfalli","monthtodatesnowfallm","monthtodatesnowfalli","since1julsnowfallm","since1julsnowfalli","snowdepthm","snowdepthi","hail","thunder","tornado","meantempm","meantempi","meandewptm","meandewpti","meanpressurem","meanpressurei","meanwindspdm","meanwindspdi","meanwdire","meanwdird","meanvism","meanvisi","humidity","maxtempm","maxtempi","mintempm","mintempi","maxhumidity","minhumidity","maxdewptm","maxdewpti","mindewptm","mindewpti","maxpressurem","maxpressurei","minpressurem","minpressurei","maxwspdm","maxwspdi","minwspdm","minwspdi","maxvism","maxvisi","minvism","minvisi","gdegreedays","heatingdegreedays","coolingdegreedays","precipm","precipi","precipsource","heatingdegreedaysnormal","monthtodateheatingdegreedays","monthtodateheatingdegreedaysnormal","since1sepheatingdegreedays","since1sepheatingdegreedaysnormal","since1julheatingdegreedays","since1julheatingdegreedaysnormal","coolingdegreedaysnormal","monthtodatecoolingdegreedays","monthtodatecoolingdegreedaysnormal","since1sepcoolingdegreedays","since1sepcoolingdegreedaysnormal","since1jancoolingdegreedays","since1jancoolingdegreedaysnormal"
"36","12:00 PM EST on February 04, 2016","0","1","0","0.00","0.00","0.00","0.00","26.42","10.40","","","0","0","0","10","50","6","42","1014","29.95","17","10","","270","16","10","","13","56","6","43","93","35","12","54","-2","28","1019","30.08","1011","29.85","29","18","11","7","16","10","11","7","0","15","0","0.25","0.01","","35","69","140","","","2528","3250","0","0","0","","","0","0"
"37","12:00 PM EST on February 05, 2016","1","1","1","17.27","6.80","17.27","6.80","43.69","17.20","","","0","0","0","1","34","-2","28","1017","30.04","21","13","","337","7","4","","6","43","-4","25","100","62","1","34","-9","16","1024","30.25","1013","29.91","40","25","13","8","16","10","0","0","0","31","0","24.38","0.96","","35","100","175","","","2559","3285","0","0","0","","","0","0"
"38","12:00 PM EST on February 06, 2016","0","0","0","0.00","0.00","","","","","","","0","0","0","-1","30","-6","21","1026","30.30","16","10","","242","16","10","","2","35","-4","24","79","49","-4","25","-9","15","1029","30.39","1024","30.23","26","16","8","5","16","10","16","10","0","36","0","0.00","0.00","","","","","","","","","","","","","","",""
"39","12:00 PM EST on February 07, 2016","0","0","0","0.00","0.00","17.27","6.80","43.69","17.20","","","0","0","0","3","37","-4","25","1021","30.14","16","10","","173","16","10","","7","44","-2","29","78","40","-1","30","-6","22","1023","30.20","1017","30.03","42","26","0","0","16","10","16","10","0","28","0","0.00","0.00","","35","163","245","","","2622","3355","0","0","0","","","0","0"
"40","12:00 PM EST on February 08, 2016","1","0","1","16.26","6.40","33.53","13.20","59.94","23.60","","","0","0","0","-2","28","-7","19","1010","29.83","34","21","","7","7","4","","3","38","-8","18","84","66","-2","29","-10","14","1015","29.99","1006","29.72","61","38","16","10","16","10","0","0","0","37","0","3.56","0.14","","34","200","279","","","2659","3389","0","0","0","","","0","0"
"41","12:00 PM EST on February 09, 2016","0","0","1","0.25","0.10","33.78","13.30","60.20","23.70","","","0","0","0","-4","25","-8","17","1005","29.68","10","6","","335","15","10","","-2","29","-7","20","84","63","-7","19","-9","15","1008","29.77","1002","29.59","26","16","0","0","16","10","11","7","0","40","0","T","T","","34","240","313","","","2699","3423","0","0","0","","","0","0"
"42","12:00 PM EST on February 10, 2016","0","0","1","0.25","0.10","34.04","13.40","60.45","23.80","","","0","0","0","-2","28","-4","25","1002","29.60","11","7","","202","11","7","","2","36","-7","20","100","63","-1","30","-8","18","1004","29.65","1000","29.54","29","18","0","0","16","10","3","2","0","37","0","T","T","","34","277","347","","","2736","3457","0","0","0","","","0","0"
"43","12:00 PM EST on February 11, 2016","0","0","1","0.51","0.20","34.54","13.60","60.96","24.00","","","0","0","0","-6","21","-13","9","1008","29.77","27","17","","278","14","9","","-1","31","-12","11","74","36","-7","20","-21","-5","1017","30.03","1004","29.65","47","29","13","8","16","10","3","2","0","44","0","0.25","0.01","","34","321","381","","","2780","3491","0","0","0","","","0","0"
"44","12:00 PM EST on February 12, 2016","0","0","0","0.00","0.00","34.54","13.60","60.96","24.00","","","0","0","0","-9","16","-18","-1","1019","30.08","19","12","","250","16","10","","-4","24","-13","8","57","39","-13","9","-22","-8","1023","30.20","1013","29.91","37","23","8","5","16","10","16","10","0","49","0","0.00","0.00","","34","370","415","","","2829","3525","0","0","0","","","0","0"
"45","12:00 PM EST on February 13, 2016","0","0","0","0.00","0.00","34.54","13.60","60.96","24.00","","","0","0","0","-12","10","-19","-3","1013","29.92","26","16","","290","16","10","","-4","24","-20","-4","62","28","-12","10","-30","-22","1021","30.15","1009","29.81","52","32","10","6","16","10","16","10","0","55","0","0.00","0.00","","34","425","449","","","2884","3559","0","0","0","","","0","0"
"46","12:00 PM EST on February 14, 2016","1","0","0","0.00","0.00","34.54","13.60","60.96","24.00","","","0","0","0","-17","2","-28","-18","1028","30.37","28","17","","295","16","10","","-11","12","-23","-9","50","29","-25","-13","-32","-25","1034","30.53","1022","30.17","47","29","13","8","16","10","16","10","0","63","0","0.00","0.00","","33","488","482","","","2947","3592","0","0","0","","","0","0"
"47","12:00 PM EST on February 15, 2016","0","1","1","3.30","1.30","37.85","14.90","64.26","25.30","","","0","0","0","-7","20","-14","7","1032","30.47","10","6","","145","11","7","","2","35","-16","4","84","37","1","34","-26","-14","1036","30.61","1023","30.20","24","15","0","0","16","10","1","1","0","45","0","6.60","0.26","","33","533","515","","","2992","3625","0","0","0","","","0","0"
"48","12:00 PM EST on February 16, 2016","0","1","0","0.00","0.00","37.85","14.90","64.26","25.30","0.00","0.00","0","0","0","6","43","6","42","1010","29.82","23","14","","188","9","6","","12","54","-1","31","100","86","11","52","-2","28","1021","30.15","998","29.47","45","28","0","0","16","10","2","2","0","22","0","16.76","0.66","","33","555","548","","","3014","3658","0","0","0","","","0","0"
